text,true_label,true_score,predicted_score,prediction_status,reason
الافلام الجديدة لمذبحة رابعة اقدمها للسفير ابراهيم يسرى ليعيد التفكير فى مبادرته ولكل من يفكر فى عمل مبادرة جديدة,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
نفسي ارجع لأيام كانت الحاجه الوحيده اللي مش تخليني اعرف انام لما يبقي عندي رحله في المدرسه تاني يوم #ذكريات_مدرسية,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
كان الأولى أن يكتبوا على جميع حوائط المدينة: حافظوا على نظافة نفسيتكم,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
الابراشى ينتخب الشيطان لو نافس الاخوان وينتخبه لو دخل ضد الرسول الشيطان لازم ينتخب الى زيه,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
طبيعي لأنهم في الخلف !!,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
كونوا على يقين أن هناك شيء ينتظركم بعد الصبر ليبهركم فينسيكم مرارة الألم و الحزن و التضحيات,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
شعار المرحلة #السكة_شمال,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
لا تجعل الطريق يأخذك حيثما يتجه بل إذهب حيث لا يوجد طريق و اترك آثارك,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
#حلاوتك_وانت عامل نفسك دكر و راجل قدام امك و بتبقى مرمطون و شخشخية ف ايد البنت بتاعتك #استرجل,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
"#خالد_علي: رفع أسعار #الغاز ""إجرام سياسي""",NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
يوم الجمعة هو أحب الأيام للمصريين الأحرار يلتقون معا فى الشوارع بلا موعد ولا ترتيبات يهتفون للحرية وللشرعية ولخير مصر وسقوط الانقلاب,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
علاء الاسواني: رأيي أننا متحضرون لكننا نعيش في دولة غير متحضرة أقرأ المقال كامل,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
فيلم الشتا اللي فات نزل الخليج :),OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
أسعد الله ظهيرتكم يا أحبه السحابه القويه مساء الأمس وصل سيلها الى قرية أبيار الماشي جنوب #المدينة_المنورة صباح اليوم …,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
سيادة الرئيس، أنا أحترمك بقدر احترامك للمحكمة الدستورية,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
عظيم نجاح أجهزة الدولة وبالتعاون مع أهل سيناء في إطلاق سراح الجنود المختطفين دون إراقة للدماء، هذه إدارة أزمة ناجحة ينبغي الإشادة بها,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
2011 الله ينور عليك يا دكتور هو ده التفكير اللى عايزينه مش كم مسجد وكم كنيسه,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
بالفيديو | الجوهري : مصنع أسمنت تيتان اعتداء على حق مواطني وادي القمر في الحياة ##كفاية #اوقفوا_الفحم,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
الأسواني :أن من شروط القصاص أن يكون المقتول مسلما أما اذا كان المقتول كافرا قبطيا فان المقال كامل>> …,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
جلسات بكرة: #رجعوا_المعتقلين,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
#برنامجي_المفضل #3 #أوسكار,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
لجنة فاروق أبوزيد مثال صارخ لنظام يقوم على وأد الحريات سنكسر حاجز الخوف #,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
ندين اعمال العنف التي لجات لها عناصر تخريبية في محيط مبني جامعة الدول العربية #السادة_المحترم…,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
3 غير صحيح! التوقيع لخالد كان لتمكينه وهو الشاب الوحيد والأكثر جراءة في الدفاع عن المدنية من دخول السباق الرئاسي,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
'القضية ١١١٠' تحقيق استقصائي عن مهزلة المنظمات غير الحكومية، آخر كلام، ١١م، أون تي في,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
أزمة المياه #المصرية و #السودانية وسد #أثيوبيا #ü …,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
"شوقي وحنين أيامي , قلبي لوصالك ظامي #باسم",OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
6 لايك من السعودية و5 ديسلايك اللايك يكسب أيوة كدة يا جدعان السعودية (),OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
#إبراهيم_محلب رئيس الوزراء:عودة #مصر إلى الاتحاد الإفريقي باتت وشيكةورفع تجميد العضوية خلال القمة الإفريقية المقبلة #مصر_نيوز,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
#اتجنن واخرج عن المألوف,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
#اعتراف انهرده كان يوم عالمى وكله بان على حقيقته,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
الليل هو بداية النهار والشتاء هو بداية الصيف والألم هو بداية الراحة#ابراهيم_الفقى,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
إستبشروا خير,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
#فيفي_عبده_الام_المثالية # آش أقول واش أضيف مالك وصيف اغنية الروعة,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
#اكتب_عبارة_على_باب_قلبك طز بشنب رجال مايفتخر فيك,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
#اوعى_تنسى عاشوا رجاله وماتوا اسود :(,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
فجاة حبيت السياسة و مجلس الشعب,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
- تعتذر عن السب و القذف 2-هل يترك الثوار أماكنهم و يهربون ام يواجهون 3- عينة ثائر الناشف مرفوضة 4- ما تمسحش تويتة السب و القذف,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
# #تصبحون_على_وطن #وقت_النوم #غداً_نلتقي #تدوين #مفيد,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
"منع ""#سما_المصري"" من الغناء بمصر لتحريضها على الفجور #السعودية #الرياض #الدمام #القصيم #تبوك #جدة #القطيف #العوامية",NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
#فيديو طفلة صينية تقرأ #القرآن بطريقة تأسر القلوب #كيك #,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
يجب ووقف فورى للعنف ومحاكمة المتورطين فيه علناً,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
"الفراشة رغم جمالها فهي ""حشرة "" والصبار رغم قسوته فهو ""زهرة"" لا تحكم علي الناس من أشكالهم بل أحكم عليهم بما تحتويه قلوبهم",NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
الأدمن: اتفرج على احلى مقاطع #امريكا_بالعربي حلقة,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
الدعاة والأمن في خندق واحد,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
#اوعى_تنسى طوابير السيسي و اخونه المقابر و زرع فى مل عائله جرح عميق لسه فاكر و انت نسيت؟؟,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
لا أهاجم مرسي لأني أستكثر عليه الرئاسة بل لأنه كذاب ومخلف لوعوده وفي رقبته دماء شبابلا أسميكم خرفانا فحتى الخروف يستحي أن يدافع عن كذاب,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
أثبتت تجارب علمية أن مضموناً كالذي يقدمه رامز جلال يفسد الأطفال و ينخفض بمستوى ذكائهم و لهذا تمنعه دول متحضرة,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
الاستبداد لن يدوم وعلى الجميع أن يتعظ سوريا ستبقى ودولة الظلم ستزولعلينا دعم الشعب السورى وحقه في الحرية والديمقراطية بكامل طاقتنا,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
نعلم ما تمثله مصر لإفريقيا وندعم خارطة الطريق #السادة_المحترمون,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
صح :),POS,4,3,راضٍ,فشل في الاتصال بالنموذج
بدل الضايع 3 دقايق والدقيقه وصل ل 50 #لازم الليفر يجيب تعادل,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
#مصر ≡ مصر سلطات الانقلاب توقف وفد حقوقي بمطار القاهرة (Ҩ) #انتخبوا_العرص,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
يوم عظيم على شعب عظيم باذن الله حشود المصريين وهتافاتهم وسلميتهم تحرك الصخر النصر قادم وما النصر الا من عند الله,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
___5 #سحب_السفراء_من_قطر #قطر_ترضخ_للضغوط_الخليجية وهل زلزلت الخيل الخمس بقيادة الأدهم مخططات الحمق #الاخواني !,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
بقلب القنوات لقيت عكاشه على الفراعين قام شاورلي من الشاشه وقالي ازيك ياهشام و شخط في عمال الإستوديو وقال اظبط الإضاءه,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
ننعي الي الانسانية رمزا متألقا للنضال في سبيل الحرية والنهضة والكرامة الانسانية القائدوالمجاهدوالمفكر العربي احمد بن بيللا زعيم ثورة الجزائر,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
لقد قدم قضاة مصر وقواتها المسلحة أرفع المثل في البذل والتفاني من أجل انجاح العملية الانتخابية وتأمين ارادة الشعب ولن تنسي مصر لهم ذلك,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
من فاعلية حركة #نساء_ضد_الانقلاب بـ #دمنهور صباح 30 4 2014 #انتفاضة_السجون #,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
للمشاركة في برنامج #استديو_تغاريد قم بتسجيل اسمك في موقع البرنامج #قناة_تغاريد,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
جامعة هلسنكي(فينلندا)تختار #السادة_المحترمون (بفريق عمله كاملا)البرنامج الأكثرمصداقية وحرفية في #مصر وتم إدراج بحث عنه في دوريتها #فلسطين,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
#صفقات_لم_تتم #دي_ستيفانو إلي #برشلونة في الواقع، فقد اعتقد برشلونة الغريم التقليدي للفريق الملكي بانه حصل على,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
اللى هيدوس لااااايك هبعتلواااا ادد #ميدو,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
#لوشز #فاشن #فساتين #فساتين2014 #فساتين_سهرة #فساتين_للبيع #فساتين_ناعمه #فساتين_دانتيل #نيويورك…,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
لن يعود لمصر توازنها الا بحل سياسي يبدأ بالشفافية و المصداقية وبحكومة انقاذ وطني من أجل استعادة الأمن وتعافي الاقتصاد وبدستور لكل المصريين,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
كيف يمكن مسح الشرائط التى سجلت جرائم العادلي لماذا كان العادلي يضحك بسعادة اثناء محاكمته اتمنى الا تكون إجابة السؤالين واحدة,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
أعتقال الناشط اليساري هيثم محمدين يكشف بوضوح أن العسكر يستهدف المد الثوري أي كان لونه أو شكله أو إنتماءه وأن …,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
الاهرام رجع زى أيام هيكل البلد زى الفل بس تعبانة شوية وقواتنا تقترب من تل ابيب بس اسرائيل ضربت كل مطارتنا,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
لا اعرف الدكتور هشام قنديل و من عدم الإنصاف ان نحكم عليه قبل ان يبدأ لننتظر التشكيل الوزاري و نعطيه فرصة ليعمل ثم نقيم اداءه,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
#المجد_للمبتسمين #المجد_للمبتسمين_صباحا,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
دعمرو علي التويتر :-<< في لقاء قناة الناس دافعت بوضوح عن الدولة المدنية والديمقراطية وعن الحرية وحقوق الإنسان,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
رصد| نظَّم التحالف الوطني لدعم الشرعية بمدينة #بني_سويف مسيرة حاشدة #2011,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
اللهم ارزقنا قلبا خاشعا و لسانا ذاكرا و جسدا على البلاء صابرا آمين,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
ان ينتزع رئيس منتخب صلاحياته القانونية من المجلس العسكري شيء وان يعطل الرئيس القانون ويلغي القضاء شيء اخريدهشني الا ترى الفرق,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
#البرادعى رئيس #حزب_الدستور لم نقم بالثورة لكى نرى مناظر السحل مرة اخرى و لابد من تغيير العقيدة الأمنية لتكون فى ص,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
موقف محترم حذر الأمير خالد بن طلال بن عبد العزيز عضو العائلة المالكة بالسعودية أن إجازة الخروج على الرئيس مرسي,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
دراما رمضان المصرية.. الكباريه الكبير ,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
اﻻمنجي #عمرو_اديب و المحامي اﻻمنجي #خالد_ابو_بكر بيروجوا لغلق المحلات من 8 مساءا و رفضوا ان #هشام_قنديل يقفل المحلات 10 …,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
#السعاده اخوية يهتم بيا اكتر من نفسة حتى و هو بعيد عنى,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
عاد إلى مصر خطاب دعائي تحريضي ينتمي إلى مرحلة الستينيات مصر تعود للوراء حتى رئيس الحكومة لا يتوقف عن تمجيد السيسي وهو مجرد …,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
بعد تبرئة سائق حمدين صباحى المتلبس بحمل السلاح وسرقة الآثار كتبت لكم انه سيسير مطيعا خلف الانقلاب، امس قال انه يؤيد سيسي لو ترشح للرئاسة,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
#حمدين_صباحى لو بقى رئيس هيوافق على قانون التظاهر وغلاء الاسعار والكهربا والغاز وبكره يشيلو دعم السولار بطلو فتى وافتكاسات بقى,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
جولة ميدانية لمنشية ناصر,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
مقال النقاب على موقع الشروق وفي كتابي مصر على دكة الاحتياطي ليس هذا موضوعنا الان اردت فقط ان ابين كيف يسلك الفاشيون عندما تختلف معهم,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
771 وثقوا فيهم؟ وهو اللي يثق فيك تخونه وتقول شرعية؟ انت مصدق نفسك؟,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
هو ما ينفعش مكاحمة #مبارك تتنقل #المنيا طاه؟؟ #مصر,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
اشتموا و قلوا أدبكم كمان وكمان خلينا نتعرف على اخلاق الاخوان #الاخوان_جماعة_ارهابية #الاخوان_قتلوا_مارى_ومياده #الاخوان,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
يسقط إعلان مرسي الديكتاتوري,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
في ناس غاويا كدب وكمان بتخاف فيديو متفبرك تماما مندوبتنا في ليسيه الحرية مادخلتش اللجنة أصلا بس حركات مفضوحة,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
يوسف الحسيني يشكر قناة الجزيرة,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
في كل الدنيا يلتزم المسئولون بتنفيذ تصريحاتهم المشير طنطاوي صرح بان سيوقف إحالة المدنيين الى محاكم عسكرية و كل يوم تتم إحالة مدنيين جدد,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
الى #الاخوان أردتموها معركة دون وجه حق فدبروا لكم مذبحة دون وجه حق اقرأ المزيد هنا:,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
__7 القدر هو ان تبقى #مصر اما الأمل فهو في الحراك الوطني على ان يكون حكيما مستفيدا من تراكم الخبرة و ليس الاعتماد على اسماء,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
خلصنا من وين طلع لنا خيري أخلص يا خيري,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
أقدم ما عرف عن #المولد_النبوي ما كان يفعله #أهل_مكة في 22أبريل كل عام من زيارة مكان وﻻدته كما يذكر الشهاب القسطﻻني في المواهب اللدنية,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
واللى ماتوا فى #بورسعيد عشان رجال ، لما قاوموا حُكم #عسكر كالجبال ️,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
كنت أفضل أن يأتى مجلس رئاسي مدنى من جهات قضائية ولكن تم الاستفتاء ولن نعود مرة اخرى للنقطة صفر ويجب أن تتم الانتخابات وتسلم السلطة,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
"استمرار مأساة غرق شبابنا في محاولات يائسة سعيا وراء ""لقمة العيش""ما هي أسبقياتنا وأين نحن من أهداف الثورة : عيش،حرية،كرامة إنسانية ؟",NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
#صباحى مشكلتك مش مع #السيسى دى مع #الشعب لأن #السيسى لو مكنش #اترشح كان #شفيق هيترشح ولو مكنش #شفيق هيبقى #موافى وسقوطك مضمون فى كل #الأحوال,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
أفضل ممثل لثورتنا#30_يونيو هو قائدهاسيادةالمشير علشان كده #السيسي_رئيسي_2014 #سأنتخب_السيسى_و_مش_هنزل_لمستواك,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
